153,Batman Forever (1995),Action|Adventu
154,Beauty of the Day (Belle de jour) (1
155,Beyond Rangoon (1995),Adventure|Dram
156,Blue in the Face (1995),Comedy|Drama
157,Canadian Bacon (1995),Comedy|War    
158,Casper (1995),Adventure|Children    
159,Clockers (1995),Crime|Drama|Mystery 
160,Congo (1995),Action|Adventure|Myster
161,Crimson Tide (1995),Drama|Thriller|W
162,Crumb (1994),Documentary            
163,Desperado (1995),Action|Romance|West
164,Devil in a Blue Dress (1995),Crime|F
165,Die Hard: With a Vengeance (1995),Ac
166,"Doom Generation, The (1995)",Comedy
167,Feast of July (1995),Drama          
168,First Knight (1995),Action|Drama|Rom
169,Free Willy 2: The Adventure Home (19
170,Hackers (1995),Action|Adventure|Crim
171,Jeffrey (1995),Comedy|Drama         
172,Johnny Mnemonic (1995),Action|Sci-Fi
173,Judge Dredd (1995),Action|Crime|Sci-
174,Jury Duty (1995),Comedy             
175,Kids (1995),Drama                   
176,Living in Oblivion (1995),Comedy    
177,Lord of Illusions (1995),Horror     
178,Love & Human Remains (1993),Comedy|D
179,Mad Love (1995),Drama|Romance       
180,Mallrats (1995),Comedy|Romance      
181,Mighty Morphin Power Rangers: The Mo
182,Moonlight and Valentino (1995),Drama
183,Mute Witness (1994),Comedy|Horror|Th
184,Nadja (1994),Drama                  
185,"Net, The (1995)",Action|Crime|Thril
186,Nine Months (1995),Comedy|Romance   
187,Party Girl (1995),Comedy            
188,"Prophecy, The (1995)",Fantasy|Horro
189,Reckless (1995),Comedy|Fantasy      
190,Safe (1995),Thriller                
191,"Scarlet Letter, The (1995)",Drama|R
192,The Show (1995),Documentary         
193,Showgirls (1995),Drama              
194,Smoke (1995),Comedy|Drama           
195,Something to Talk About (1995),Comed
196,Species (1995),Horror|Sci-Fi        
197,"Stars Fell on Henrietta, The (1995)
198,Strange Days (1995),Action|Crime|Dra
199,"Umbrellas of Cherbourg, The (Parapl
200,"Tie That Binds, The (1995)",Thrille
201,Three Wishes (1995),Drama|Fantasy   
202,Total Eclipse (1995),Drama|Romance  
203,"To Wong Foo, Thanks for Everything!
204,Under Siege 2: Dark Territory (1995)
205,Unstrung Heroes (1995),Comedy|Drama 
206,Unzipped (1995),Documentary         
207,"Walk in the Clouds, A (1995)",Drama
208,Waterworld (1995),Action|Adventure|S
209,White Man's Burden (1995),Drama     
210,Wild Bill (1995),Western            
211,"Browning Version, The (1994)",Drama
212,Bushwhacked (1995),Adventure|Comedy|
213,Burnt by the Sun (Utomlyonnye solnts
214,Before the Rain (Pred dozhdot) (1994
215,Before Sunrise (1995),Drama|Romance 
216,Billy Madison (1995),Comedy         
217,"Babysitter, The (1995)",Drama|Thril
218,Boys on the Side (1995),Comedy|Drama
219,"Cure, The (1995)",Drama            
220,Castle Freak (1995),Horror          
222,Circle of Friends (1995),Drama|Roman
223,Clerks (1994),Comedy                
224,Don Juan DeMarco (1995),Comedy|Drama
225,Disclosure (1994),Drama|Thriller    
226,Dream Man (1995),Thriller           
227,Drop Zone (1994),Action|Thriller    
228,Destiny Turns on the Radio (1995),Co
229,Death and the Maiden (1994),Drama|Th
230,Dolores Claiborne (1995),Drama|Thril
231,Dumb & Dumber (Dumb and Dumber) (199
232,Eat Drink Man Woman (Yin shi nan nu)
233,Exotica (1994),Drama                
234,Exit to Eden (1994),Comedy          
235,Ed Wood (1994),Comedy|Drama         
236,French Kiss (1995),Action|Comedy|Rom
237,Forget Paris (1995),Comedy|Romance  
238,Far From Home: The Adventures of Yel
239,"Goofy Movie, A (1995)",Animation|Ch
240,Hideaway (1995),Thriller            
241,Fluke (1995),Children|Drama         
242,Farinelli: il castrato (1994),Drama|
243,Gordy (1995),Children|Comedy|Fantasy
244,Gumby: The Movie (1995),Animation|Ch
245,The Glass Shield (1994),Crime|Drama 
246,Hoop Dreams (1994),Documentary      
247,Heavenly Creatures (1994),Crime|Dram
248,Houseguest (1994),Comedy            
249,Immortal Beloved (1994),Drama|Romanc
250,Heavyweights (Heavy Weights) (1995),
251,"Hunted, The (1995)",Action         
252,I.Q. (1994),Comedy|Romance          
253,Interview with the Vampire: The Vamp
254,Jefferson in Paris (1995),Drama     
255,"Jerky Boys, The (1995)",Comedy     
256,Junior (1994),Comedy|Sci-Fi         
257,Just Cause (1995),Mystery|Thriller  
258,"Kid in King Arthur's Court, A (1995
259,Kiss of Death (1995),Crime|Drama|Thr
260,Star Wars: Episode IV - A New Hope (
261,Little Women (1994),Drama           
262,"Little Princess, A (1995)",Children
263,Ladybird Ladybird (1994),Drama      
264,"Enfer, L' (1994)",Drama            
265,Like Water for Chocolate (Como agua 
266,Legends of the Fall (1994),Drama|Rom
267,Major Payne (1995),Comedy           
268,Little Odessa (1994),Crime|Drama    
269,My Crazy Life (Mi vida loca) (1993),
270,Love Affair (1994),Drama|Romance    
271,Losing Isaiah (1995),Drama          
272,"Madness of King George, The (1994)"
273,Mary Shelley's Frankenstein (Franken
274,Man of the House (1995),Comedy      
275,Mixed Nuts (1994),Comedy            
276,Milk Money (1994),Comedy|Romance    
277,Miracle on 34th Street (1994),Drama 
278,Miami Rhapsody (1995),Comedy        
279,My Family (1995),Drama              
280,Murder in the First (1995),Drama|Thr
281,Nobody's Fool (1994),Comedy|Drama|Ro
282,Nell (1994),Drama                   
283,New Jersey Drive (1995),Crime|Drama 
284,New York Cop (Nyû Yôku no koppu) (19
285,Beyond Bedlam (1993),Drama|Horror   
286,Nemesis 2: Nebula (1995),Action|Sci-
287,Nina Takes a Lover (1994),Comedy|Rom
288,Natural Born Killers (1994),Action|C
289,Only You (1994),Comedy|Romance      
290,Once Were Warriors (1994),Crime|Dram
292,Outbreak (1995),Action|Drama|Sci-Fi|
293,Léon: The Professional (a.k.a. The P
294,"Perez Family, The (1995)",Comedy|Ro
295,"Pyromaniac's Love Story, A (1995)",
296,Pulp Fiction (1994),Comedy|Crime|Dra
297,Panther (1995),Drama                
298,Pushing Hands (Tui shou) (1992),Dram
299,Priest (1994),Drama                 
300,Quiz Show (1994),Drama              
301,Picture Bride (Bijo photo) (1994),Dr
302,"Queen Margot (Reine Margot, La) (19
303,"Quick and the Dead, The (1995)",Act
304,Roommates (1995),Comedy|Drama       
305,Ready to Wear (Pret-A-Porter) (1994)
306,Three Colors: Red (Trois couleurs: R
307,Three Colors: Blue (Trois couleurs: 
308,Three Colors: White (Trzy kolory: Bi
309,"Red Firecracker, Green Firecracker 
310,Rent-a-Kid (1995),Comedy            
311,Relative Fear (1994),Horror|Thriller
312,Stuart Saves His Family (1995),Comed
313,"Swan Princess, The (1994)",Animatio
314,"Secret of Roan Inish, The (1994)",C
315,"Specialist, The (1994)",Action|Dram
316,Stargate (1994),Action|Adventure|Sci
317,"Santa Clause, The (1994)",Comedy|Dr
318,"Shawshank Redemption, The (1994)",C
319,Shallow Grave (1994),Comedy|Drama|Th
320,Suture (1993),Film-Noir|Thriller    
321,Strawberry and Chocolate (Fresa y ch
322,Swimming with Sharks (1995),Comedy|D
324,"Sum of Us, The (1994)",Comedy|Drama
325,National Lampoon's Senior Trip (1995
326,To Live (Huozhe) (1994),Drama       
327,Tank Girl (1995),Action|Comedy|Sci-F
328,Tales from the Crypt Presents: Demon
329,Star Trek: Generations (1994),Advent
330,Tales from the Hood (1995),Action|Cr
331,Tom & Viv (1994),Drama              
332,Village of the Damned (1995),Horror|
333,Tommy Boy (1995),Comedy             
334,Vanya on 42nd Street (1994),Drama   
335,Underneath (1995),Mystery|Thriller  
336,"Walking Dead, The (1995)",Drama|War
337,What's Eating Gilbert Grape (1993),D
338,Virtuosity (1995),Action|Sci-Fi|Thri
339,While You Were Sleeping (1995),Comed
340,"War, The (1994)",Adventure|Drama|Wa
341,Double Happiness (1994),Drama       
342,Muriel's Wedding (1994),Comedy      
343,"Baby-Sitters Club, The (1995)",Chil
344,Ace Ventura: Pet Detective (1994),Co
345,"Adventures of Priscilla, Queen of t
346,Backbeat (1993),Drama|Musical       
347,Bitter Moon (1992),Drama|Film-Noir|R
348,Bullets Over Broadway (1994),Comedy 
349,Clear and Present Danger (1994),Acti
350,"Client, The (1994)",Drama|Mystery|T
351,"Corrina, Corrina (1994)",Comedy|Dra
352,Crooklyn (1994),Comedy|Drama        
353,"Crow, The (1994)",Action|Crime|Fant
354,Cobb (1994),Drama                   
355,"Flintstones, The (1994)",Children|C
356,Forrest Gump (1994),Comedy|Drama|Rom
357,Four Weddings and a Funeral (1994),C
358,Higher Learning (1995),Drama        
359,I Like It Like That (1994),Comedy|Dr
360,I Love Trouble (1994),Action|Comedy 
361,It Could Happen to You (1994),Comedy
362,"Jungle Book, The (1994)",Adventure|
363,"Wonderful, Horrible Life of Leni Ri
364,"Lion King, The (1994)",Adventure|An
365,Little Buddha (1993),Drama          
366,"Wes Craven's New Nightmare (Nightma
367,"Mask, The (1994)",Action|Comedy|Cri
368,Maverick (1994),Adventure|Comedy|Wes
369,Mrs. Parker and the Vicious Circle (
370,Naked Gun 33 1/3: The Final Insult (
371,"Paper, The (1994)",Comedy|Drama    
372,Reality Bites (1994),Comedy|Drama|Ro
373,Red Rock West (1992),Thriller       
374,Richie Rich (1994),Children|Comedy  
375,Safe Passage (1994),Drama           
376,"River Wild, The (1994)",Action|Thri
377,Speed (1994),Action|Romance|Thriller
378,Speechless (1994),Comedy|Romance    
379,Timecop (1994),Action|Sci-Fi|Thrille
380,True Lies (1994),Action|Adventure|Co
381,When a Man Loves a Woman (1994),Dram
382,Wolf (1994),Drama|Horror|Romance|Thr
383,Wyatt Earp (1994),Western           
384,Bad Company (1995),Action|Crime|Dram
385,"Man of No Importance, A (1994)",Dra
386,S.F.W. (1994),Drama                 
387,"Low Down Dirty Shame, A (1994)",Act
388,Boys Life (1995),Drama              
389,"Colonel Chabert, Le (1994)",Drama|R
390,Faster Pussycat! Kill! Kill! (1965),
391,Jason's Lyric (1994),Crime|Drama    
392,"Secret Adventures of Tom Thumb, The
393,Street Fighter (1994),Action|Adventu
394,Coldblooded (1995),Comedy           
395,Desert Winds (1995),Drama|Fantasy|Ro
396,Fall Time (1995),Drama              
397,"Fear, The (1995)",Horror           
398,Frank and Ollie (1995),Documentary  
399,Girl in the Cadillac (1995),Drama   
400,Homage (1995),Drama                 
401,Mirage (1995),Action|Thriller       
402,Open Season (1996),Comedy           
403,Two Crimes (Dos crímenes) (1995),Com
404,Brother Minister: The Assassination 
405,Highlander III: The Sorcerer (a.k.a.
406,Federal Hill (1994),Drama           
407,In the Mouth of Madness (1995),Horro
408,8 Seconds (1994),Drama              
409,Above the Rim (1994),Crime|Drama    
410,Addams Family Values (1993),Children
411,Martin Lawrence: You So Crazy (1994)
412,"Age of Innocence, The (1993)",Drama
413,Airheads (1994),Comedy              
414,"Air Up There, The (1994)",Comedy   
415,Another Stakeout (1993),Comedy|Thril
416,Bad Girls (1994),Western            
417,Barcelona (1994),Comedy|Romance     
418,Being Human (1993),Drama            
419,"Beverly Hillbillies, The (1993)",Co
420,Beverly Hills Cop III (1994),Action|
421,Black Beauty (1994),Adventure|Childr
422,Blink (1994),Thriller               
423,Blown Away (1994),Action|Thriller   
424,Blue Chips (1994),Drama             
425,Blue Sky (1994),Drama|Romance       
426,Body Snatchers (1993),Horror|Sci-Fi|
427,Boxing Helena (1993),Drama|Mystery|R
428,"Bronx Tale, A (1993)",Drama        
429,Cabin Boy (1994),Comedy             
430,Calendar Girl (1993),Comedy|Drama   
431,Carlito's Way (1993),Crime|Drama    
432,City Slickers II: The Legend of Curl
433,Clean Slate (1994),Comedy           
434,Cliffhanger (1993),Action|Adventure|
435,Coneheads (1993),Comedy|Sci-Fi      
436,Color of Night (1994),Drama|Thriller
437,Cops and Robbersons (1994),Comedy   
438,"Cowboy Way, The (1994)",Action|Come
439,Dangerous Game (1993),Drama         
440,Dave (1993),Comedy|Romance          
441,Dazed and Confused (1993),Comedy    
442,Demolition Man (1993),Action|Adventu
443,"Endless Summer 2, The (1994)",Adven
444,Even Cowgirls Get the Blues (1993),C
445,Fatal Instinct (1993),Comedy        
446,Farewell My Concubine (Ba wang bie j
447,"Favor, The (1994)",Comedy|Romance  
448,Fearless (1993),Drama               
449,Fear of a Black Hat (1994),Comedy   
450,With Honors (1994),Comedy|Drama     
451,Flesh and Bone (1993),Drama|Mystery|
452,Widows' Peak (1994),Drama           
453,For Love or Money (1993),Comedy|Roma
454,"Firm, The (1993)",Drama|Thriller   
455,Free Willy (1993),Adventure|Children
456,Fresh (1994),Crime|Drama|Thriller   
457,"Fugitive, The (1993)",Thriller     
458,Geronimo: An American Legend (1993),
459,"Getaway, The (1994)",Action|Adventu
460,Getting Even with Dad (1994),Comedy 
461,Go Fish (1994),Drama|Romance        
462,"Good Man in Africa, A (1994)",Actio
463,Guilty as Sin (1993),Crime|Drama|Thr
464,Hard Target (1993),Action|Adventure|
465,Heaven & Earth (1993),Action|Drama|W
466,Hot Shots! Part Deux (1993),Action|C
467,Live Nude Girls (1995),Comedy       
468,"Englishman Who Went Up a Hill But C
469,"House of the Spirits, The (1993)",D
470,House Party 3 (1994),Comedy         
471,"Hudsucker Proxy, The (1994)",Comedy
472,I'll Do Anything (1994),Comedy|Drama
473,In the Army Now (1994),Comedy|War   
474,In the Line of Fire (1993),Action|Th
475,In the Name of the Father (1993),Dra
476,"Inkwell, The (1994)",Comedy|Drama  
477,What's Love Got to Do with It? (1993
478,Jimmy Hollywood (1994),Comedy|Crime|
479,Judgment Night (1993),Action|Crime|T
480,Jurassic Park (1993),Action|Adventur
481,Kalifornia (1993),Drama|Thriller    
482,Killing Zoe (1994),Crime|Drama|Thril
483,King of the Hill (1993),Drama       
484,Lassie (1994),Adventure|Children    
485,Last Action Hero (1993),Action|Adven
486,Life with Mikey (1993),Comedy       
487,Lightning Jack (1994),Comedy|Western
488,M. Butterfly (1993),Drama|Romance   
489,Made in America (1993),Comedy       
490,Malice (1993),Thriller              
491,"Man Without a Face, The (1993)",Dra
492,Manhattan Murder Mystery (1993),Come
493,Menace II Society (1993),Action|Crim
494,Executive Decision (1996),Action|Adv
495,In the Realm of the Senses (Ai no co
496,What Happened Was... (1994),Comedy|D
497,Much Ado About Nothing (1993),Comedy
498,Mr. Jones (1993),Drama|Romance      
499,Mr. Wonderful (1993),Comedy|Romance 
500,Mrs. Doubtfire (1993),Comedy|Drama  
501,Naked (1993),Drama                  
502,"Next Karate Kid, The (1994)",Action
503,"New Age, The (1994)",Drama         
504,No Escape (1994),Action|Drama|Sci-Fi
505,North (1994),Comedy                 
506,Orlando (1992),Drama|Fantasy|Romance
507,"Perfect World, A (1993)",Crime|Dram
508,Philadelphia (1993),Drama           
509,"Piano, The (1993)",Drama|Romance   
510,Poetic Justice (1993),Drama         
511,"Program, The (1993)",Action|Drama  
512,"Puppet Masters, The (1994)",Horror|
513,Radioland Murders (1994),Comedy|Myst
514,"Ref, The (1994)",Comedy            
515,"Remains of the Day, The (1993)",Dra
516,Renaissance Man (1994),Comedy|Drama 
517,Rising Sun (1993),Action|Drama|Myste
518,"Road to Wellville, The (1994)",Come
519,RoboCop 3 (1993),Action|Crime|Drama|
520,Robin Hood: Men in Tights (1993),Com
521,Romeo Is Bleeding (1993),Crime|Thril
522,Romper Stomper (1992),Action|Drama  
523,Ruby in Paradise (1993),Drama       
524,Rudy (1993),Drama                   
525,"Saint of Fort Washington, The (1993
526,"Savage Nights (Nuits fauves, Les) (
527,Schindler's List (1993),Drama|War   
528,"Scout, The (1994)",Comedy|Drama    
529,Searching for Bobby Fischer (1993),D
530,Second Best (1994),Drama            
531,"Secret Garden, The (1993)",Children
532,Serial Mom (1994),Comedy|Crime|Horro
533,"Shadow, The (1994)",Action|Adventur
534,Shadowlands (1993),Drama|Romance    
535,Short Cuts (1993),Drama             
536,"Simple Twist of Fate, A (1994)",Dra
537,Sirens (1994),Drama                 
538,Six Degrees of Separation (1993),Dra
539,Sleepless in Seattle (1993),Comedy|D
540,Sliver (1993),Thriller              
541,Blade Runner (1982),Action|Sci-Fi|Th
542,Son in Law (1993),Comedy|Drama|Roman
543,So I Married an Axe Murderer (1993),
544,Striking Distance (1993),Action|Crim
546,Super Mario Bros. (1993),Action|Adve
547,Surviving the Game (1994),Action|Adv
548,Terminal Velocity (1994),Action|Myst
549,Thirty-Two Short Films About Glenn G
550,Threesome (1994),Comedy|Romance     
551,"Nightmare Before Christmas, The (19
552,"Three Musketeers, The (1993)",Actio
553,Tombstone (1993),Action|Drama|Wester
554,Trial by Jury (1994),Crime|Drama|Thr
555,True Romance (1993),Crime|Thriller  
556,"War Room, The (1993)",Documentary  
558,"Pagemaster, The (1994)",Action|Adve
559,"Paris, France (1993)",Comedy       
560,"Beans of Egypt, Maine, The (1994)",
561,Killer (Bulletproof Heart) (1994),Dr
562,Welcome to the Dollhouse (1995),Come
563,Germinal (1993),Drama|Romance       
564,Chasers (1994),Comedy               
565,Cronos (1993),Drama|Horror          
566,Naked in New York (1994),Comedy|Roma
567,Kika (1993),Comedy|Drama            
568,Bhaji on the Beach (1993),Comedy|Dra
569,Little Big League (1994),Comedy|Dram
570,"Slingshot, The (Kådisbellan) (1993)
571,"Wedding Gift, The (1994)",Drama|Rom
572,Foreign Student (1994),Drama        
573,"Ciao, Professore! (Io speriamo che 
574,Spanking the Monkey (1994),Comedy|Dr
575,"Little Rascals, The (1994)",Childre
576,Fausto (1993),Comedy                
577,Andre (1994),Adventure|Children|Dram
579,"Escort, The (Scorta, La) (1993)",Cr
580,Princess Caraboo (1994),Drama       
581,"Celluloid Closet, The (1995)",Docum
582,Métisse (Café au Lait) (1993),Comedy
583,Dear Diary (Caro Diario) (1994),Come
584,I Don't Want to Talk About It (De es
585,"Brady Bunch Movie, The (1995)",Come
586,Home Alone (1990),Children|Comedy   
587,Ghost (1990),Comedy|Drama|Fantasy|Ro
588,Aladdin (1992),Adventure|Animation|C
589,Terminator 2: Judgment Day (1991),Ac
590,Dances with Wolves (1990),Adventure|
591,Tough and Deadly (1995),Action|Drama
592,Batman (1989),Action|Crime|Thriller 
593,"Silence of the Lambs, The (1991)",C
594,Snow White and the Seven Dwarfs (193
595,Beauty and the Beast (1991),Animatio
596,Pinocchio (1940),Animation|Children|
597,Pretty Woman (1990),Comedy|Romance  
598,Window to Paris (Okno v Parizh) (199
599,"Wild Bunch, The (1969)",Adventure|W
600,Love and a .45 (1994),Action|Comedy|
601,"Wooden Man's Bride, The (Yan shen) 
602,"Great Day in Harlem, A (1994)",Docu
603,"Bye Bye, Love (1995)",Comedy       
604,Criminals (1996),Documentary        
605,One Fine Day (1996),Drama|Romance   
606,Candyman: Farewell to the Flesh (199
607,Century (1993),Drama                
608,Fargo (1996),Comedy|Crime|Drama|Thri
609,Homeward Bound II: Lost in San Franc
610,Heavy Metal (1981),Action|Adventure|
611,Hellraiser: Bloodline (1996),Action|
612,"Pallbearer, The (1996)",Comedy     
613,Jane Eyre (1996),Drama|Romance      
614,Loaded (1994),Drama|Thriller        
615,Bread and Chocolate (Pane e cioccola
616,"Aristocats, The (1970)",Animation|C
617,"Flower of My Secret, The (La flor d
618,Two Much (1995),Comedy|Romance      
619,Ed (1996),Comedy                    
620,Scream of Stone (Cerro Torre: Schrei
621,My Favorite Season (1993),Drama     
623,"Modern Affair, A (1995)",Romance   
625,Asfour Stah (1990),Drama            
626,"Thin Line Between Love and Hate, A 
627,"Last Supper, The (1995)",Drama|Thri
628,Primal Fear (1996),Crime|Drama|Myste
629,Rude (1995),Drama                   
630,Carried Away (1996),Drama|Romance   
631,All Dogs Go to Heaven 2 (1996),Adven
632,Land and Freedom (Tierra y libertad)
633,Denise Calls Up (1995),Comedy       
634,Theodore Rex (1995),Comedy          
635,"Family Thing, A (1996)",Comedy|Dram
636,Frisk (1995),Drama                  
637,Sgt. Bilko (1996),Comedy            
638,Jack and Sarah (1995),Romance       
639,Girl 6 (1996),Comedy|Drama          
640,Diabolique (1996),Drama|Thriller    
641,"Little Indian, Big City (Un indien 
642,Roula (1995),Drama                  
643,Peanuts - Die Bank zahlt alles (1996
644,Happy Weekend (1996),Comedy         
645,Nelly & Monsieur Arnaud (1995),Drama
647,Courage Under Fire (1996),Action|Cri
648,Mission: Impossible (1996),Action|Ad
649,Cold Fever (Á köldum klaka) (1995),C
650,Moll Flanders (1996),Drama          
651,"Superweib, Das (1996)",Comedy      
652,"301, 302 (301/302) (1995)",Horror|M
653,Dragonheart (1996),Action|Adventure|
654,And Nobody Weeps for Me (Und keiner 
655,My Mother's Courage (Mutters Courage
656,Eddie (1996),Comedy                 
657,Yankee Zulu (1994),Comedy|Drama     
658,Billy's Holiday (1995),Drama|Musical
659,Purple Noon (Plein soleil) (1960),Cr
660,August (1996),Drama                 
661,James and the Giant Peach (1996),Adv
662,Fear (1996),Thriller                
663,Kids in the Hall: Brain Candy (1996)
664,Faithful (1996),Comedy              
665,Underground (1995),Comedy|Drama|War 
666,All Things Fair (Lust och fägring st
667,Bloodsport 2 (a.k.a. Bloodsport II: 
668,Song of the Little Road (Pather Panc
670,"World of Apu, The (Apur Sansar) (19
671,Mystery Science Theater 3000: The Mo
672,Tarantella (1995),Drama             
673,Space Jam (1996),Adventure|Animation
674,Barbarella (1968),Adventure|Comedy|S
675,Hostile Intentions (1994),Action|Dra
676,They Bite (1996),Comedy|Horror|Sci-F
678,Some Folks Call It a Sling Blade (19
679,"Run of the Country, The (1995)",Dra
